Vendor,Vendor Type,Amount,Due Date,Transaction Date,Transaction Description
Johnson Ltd,Rent,5473.09,02/03/2025,01/01/2025,Monthly office rent payment - Leefort branch
"Estrada, Davis and Myers",Marketing,3904.12,10/01/2025,16/11/2024,SEO and SEM services - lead generation
"Huber, Burns and Pollard",Legal,6344.39,20/07/2025,05/06/2025,Intellectual property review - annual check
Ward PLC,Marketing,9770.56,08/06/2025,25/04/2025,SEO and SEM services - lead generation
Bell Group,Marketing,5612.56,22/04/2025,12/03/2025,Email campaign services - customer outreach
Cook PLC,Rent,4904.95,29/12/2024,02/12/2024,Monthly office rent payment - New Michellestad branch
Gonzalez PLC,Legal,1242.93,19/10/2024,01/10/2024,Contract negotiation support - vendor deal
Randolph Ltd,Consulting,1133.61,15/12/2024,04/12/2024,Monthly retainer for strategic advisory
Berger-Chan,Software,5478.71,09/09/2024,02/09/2024,Annual renewal - enterprise software suite
"Murillo, Bautista and Jackson",Rent,2574.99,26/05/2025,26/04/2025,Rental charge for workspace - downtown Samanthaport
"Brown, Gray and Davies",Software,2390.23,16/07/2025,17/06/2025,Billing for API usage - developer plan
Cruz-Rodriguez,Rent,4495.55,03/07/2025,04/06/2025,Monthly office rent payment - Manuelview branch
Jackson Inc,Utilities,6434.67,17/11/2024,30/09/2024,Heating and cooling costs - company premises
Peterson Ltd,Supplies,8481.95,06/07/2025,06/07/2025,"Monthly supply restocking - pens, paper, toner"
Li-Delacruz,Consulting,2080.46,24/01/2025,25/12/2024,Monthly retainer for strategic advisory
Allison-Lee,Marketing,2934.38,24/09/2024,07/09/2024,Ad campaign spend - LinkedIn ads
Dunlap-Hahn,Software,5533.79,22/10/2024,20/10/2024,Pro plan billing for cloud platform - 13 seats
Cameron Group,Utilities,4935.12,01/06/2025,04/05/2025,Monthly internet charges - Port Kristashire branch
"Horton, Martinez and Wells",Utilities,2607.68,03/02/2025,21/12/2024,Phone and data plan charges - office use
Hensley-Cox,Payroll Provider,8702.79,06/01/2025,06/01/2025,Monthly payroll service fee - 144 employees
"Little, Lewis and Garcia",Legal,7342.7,08/02/2025,23/01/2025,Contract negotiation support - vendor deal
Pugh-Carpenter,Legal,2774.65,13/01/2025,13/01/2025,Contract negotiation support - vendor deal
"Hernandez, Tucker and Young",Rent,4685.29,12/02/2025,22/12/2024,Monthly office rent payment - Lake Codytown branch
Kelly-Fisher,Payroll Provider,7443.11,26/07/2025,11/06/2025,Wages disbursed via payroll platform
"Carlson, Hamilton and Sanchez",Consulting,1111.56,27/12/2024,17/12/2024,Consulting session - digital transformation
"Mcguire, Stein and Davis",Payroll Provider,1979.4,01/05/2025,08/04/2025,Direct deposit processing - contractor payroll
Wilson-Wade,Marketing,5615.47,10/11/2024,11/09/2024,Content marketing retainer - monthly service
"Miller, Young and Ward",Consulting,8257.64,25/03/2025,03/03/2025,Monthly retainer for strategic advisory
Hayes-White,Consulting,4273.78,23/08/2025,28/07/2025,Monthly retainer for strategic advisory
Tanner-Fox,Supplies,4344.58,10/01/2025,24/12/2024,Purchase of ergonomic office accessories
Gentry-Kelly,Marketing,778.74,06/08/2025,01/07/2025,Influencer collaboration fee - product promo
Grant Ltd,Supplies,2671.54,22/11/2024,05/10/2024,"Monthly supply restocking - pens, paper, toner"
Dunlap Inc,Consulting,4927.45,09/08/2024,07/08/2024,Project-based consulting fee - Ramirezstad office
Edwards Ltd,Consulting,2632.16,14/06/2025,23/04/2025,Consulting session - digital transformation
Williams-Kelly,Utilities,8144.15,24/12/2024,13/11/2024,Electricity bill for office - South Roger
Russell LLC,Rent,882.03,01/09/2025,13/07/2025,Rental charge for workspace - downtown East Jennifer
Logan Group,Utilities,150.74,20/12/2024,27/10/2024,Electricity bill for office - Davenportland
Freeman-Joseph,Software,5923.07,10/08/2025,07/07/2025,Annual renewal - enterprise software suite
Rich PLC,Legal,2841.5,23/12/2024,30/11/2024,Legal advisory services - compliance audit
Campbell-Beck,Consulting,9990.78,07/10/2024,03/10/2024,Monthly retainer for strategic advisory
Rose and Sons,Marketing,1909.23,16/12/2024,14/12/2024,SEO and SEM services - lead generation
"Garcia, Cox and Molina",Consulting,3338.99,17/04/2025,06/04/2025,External expert engagement - operational efficiency
Baldwin-Dean,Legal,1909.08,16/04/2025,25/02/2025,Document preparation and filing - legal team
Rogers and Sons,Consulting,2446.51,20/08/2024,09/08/2024,External expert engagement - operational efficiency
"Richard, Snyder and Henry",Marketing,7390,31/12/2024,14/11/2024,SEO and SEM services - lead generation
Willis-Boone,Consulting,1270.71,12/12/2024,17/10/2024,External expert engagement - operational efficiency
Gray and Sons,Consulting,416.98,11/05/2025,09/05/2025,Consulting session - digital transformation
"Williams, Turner and Walker",Marketing,1936.33,04/08/2025,25/06/2025,Email campaign services - customer outreach
"Jones, Romero and Peterson",Consulting,9823.7,28/03/2025,26/03/2025,External expert engagement - operational efficiency
"Phillips, Woodard and Atkinson",Payroll Provider,4416.23,13/02/2025,19/12/2024,Wages disbursed via payroll platform
Myers-Barry,Marketing,9737.2,14/11/2024,08/10/2024,SEO and SEM services - lead generation
Griffin-Foley,Legal,5909.28,10/05/2025,27/03/2025,Contract negotiation support - vendor deal
Williams and Sons,Payroll Provider,7390.04,18/11/2024,26/10/2024,Payroll charges for hourly workers - West Danieltown site
"Quinn, Collins and Wilson",Legal,1036.25,04/09/2024,08/08/2024,Legal advisory services - compliance audit
Morgan-Bowen,Supplies,778.85,03/07/2025,06/05/2025,"Monthly supply restocking - pens, paper, toner"
Byrd-Hurley,Legal,6411.47,24/05/2025,29/03/2025,Intellectual property review - annual check
Moran and Sons,Rent,152.3,13/05/2025,01/04/2025,Quarterly rent - North Luistown headquarters
Brennan-Parker,Marketing,4191.25,06/07/2025,11/05/2025,Influencer collaboration fee - product promo
Ford-Torres,Legal,7632.14,16/06/2025,18/05/2025,Intellectual property review - annual check
Mckenzie-Martinez,Marketing,3514.07,06/10/2024,07/08/2024,Influencer collaboration fee - product promo
"Arnold, Patel and Martinez",Rent,6823.48,16/01/2025,20/11/2024,Monthly office rent payment - South Betty branch
"Nicholson, Best and Fletcher",Supplies,4713.11,28/03/2025,23/02/2025,Order of printer cartridges - South Ashleybury office
"Whitaker, Moon and Schmidt",Payroll Provider,5132.38,18/02/2025,20/01/2025,Direct deposit processing - contractor payroll
"Mendez, Mejia and Robinson",Rent,6874.26,05/05/2025,12/04/2025,Building rental for company premises
Martinez Ltd,Consulting,3963.91,23/03/2025,29/01/2025,Monthly retainer for strategic advisory
"Stevenson, Jackson and Mcfarland",Software,8983.11,31/07/2025,17/07/2025,Annual renewal - enterprise software suite
Oneal Inc,Marketing,4750.42,09/06/2025,23/05/2025,SEO and SEM services - lead generation
Luna-Phillips,Utilities,5490.45,17/01/2025,31/12/2024,Phone and data plan charges - office use
Douglas-Powell,Consulting,8237.3,13/03/2025,13/03/2025,Project-based consulting fee - Williamtown office
Carter-Mann,Consulting,460.05,13/11/2024,15/10/2024,Remote consulting workshop - Q&A session
Yates Ltd,Payroll Provider,7687.83,24/04/2025,16/03/2025,Salary payment facilitation - full-time staff
"Higgins, Reilly and Hurley",Utilities,4440.86,08/06/2025,22/04/2025,Electricity bill for office - Davidbury
Hamilton-Ryan,Utilities,541.97,12/07/2025,14/05/2025,Electricity bill for office - Lake Madeline
Allen Ltd,Supplies,4035.57,07/03/2025,24/02/2025,Purchase of ergonomic office accessories
Black Ltd,Payroll Provider,8857.33,05/04/2025,18/03/2025,Monthly payroll service fee - 54 employees
Watts-Hayes,Consulting,2146.68,25/12/2024,11/12/2024,Remote consulting workshop - Q&A session
Mitchell LLC,Software,7650.83,22/10/2024,15/10/2024,Annual renewal - enterprise software suite
"Smith, Smith and Trevino",Supplies,7880.01,13/05/2025,24/04/2025,Purchase of ergonomic office accessories
Davis-Rowe,Utilities,6708.68,19/03/2025,12/02/2025,Heating and cooling costs - company premises
"Dudley, Spencer and Sullivan",Supplies,7613.06,08/01/2025,13/11/2024,"Monthly supply restocking - pens, paper, toner"
"Williams, Riley and Henry",Legal,5434.26,14/12/2024,27/10/2024,Document preparation and filing - legal team
Madden PLC,Consulting,3851.29,25/06/2025,07/06/2025,Consulting session - digital transformation
"Walker, Horne and Duffy",Rent,2534.65,25/07/2025,08/06/2025,Building rental for company premises
Guerra-Huber,Software,234.36,09/04/2025,02/04/2025,Recurring license fee for SaaS product
Rich Ltd,Payroll Provider,8484.93,25/04/2025,13/03/2025,Monthly payroll service fee - 137 employees
Brown Group,Utilities,3000.48,01/07/2025,08/05/2025,Electricity bill for office - Lake Kristy
Duran-Contreras,Software,9814.88,24/01/2025,18/12/2024,Pro plan billing for cloud platform - 39 seats
Martin-Monroe,Payroll Provider,335.41,10/08/2025,02/07/2025,Payroll charges for hourly workers - Lake Jeffrey site
West-Hudson,Utilities,7175.34,12/11/2024,21/09/2024,Heating and cooling costs - company premises
Hall LLC,Rent,3894.99,06/04/2025,28/02/2025,Commercial space lease fee - Paynefort location
Thompson LLC,Supplies,7883.62,01/02/2025,20/01/2025,Purchase of ergonomic office accessories
Collins-Black,Utilities,6234.85,12/07/2025,21/05/2025,Monthly internet charges - South Jennifer branch
Williams-Hunter,Marketing,973.48,17/08/2025,27/07/2025,Ad campaign spend - Google ads
Cox Ltd,Marketing,4128.92,14/10/2024,16/08/2024,Email campaign services - customer outreach
"Mendez, Price and Fitzgerald",Supplies,2629.94,30/10/2024,10/10/2024,Purchase of ergonomic office accessories
Davis-Hunt,Utilities,9700.92,28/08/2025,27/07/2025,Monthly internet charges - Mathisview branch
Anderson-Chapman,Utilities,6438.12,28/12/2024,12/12/2024,Electricity bill for office - East Michael
Burton Inc,Payroll Provider,6399.95,02/06/2025,14/05/2025,Direct deposit processing - contractor payroll
"Cole, Thomas and Ramos",Software,2784.35,16/04/2025,31/03/2025,Recurring license fee for SaaS product
Young-Ellis,Supplies,2432.59,04/10/2024,07/09/2024,Purchase of ergonomic office accessories
"Lewis, Jackson and Gomez",Utilities,3901.3,26/08/2025,19/07/2025,Phone and data plan charges - office use
Payne-Johnson,Consulting,449.53,30/01/2025,02/01/2025,Monthly retainer for strategic advisory
Shelton-Rogers,Supplies,5106.52,27/08/2024,13/08/2024,Purchase of ergonomic office accessories
Casey PLC,Utilities,759.02,11/06/2025,07/05/2025,Phone and data plan charges - office use
"Cooper, Turner and Rasmussen",Payroll Provider,5713.24,02/09/2025,24/07/2025,Salary payment facilitation - full-time staff
Wilson-Jackson,Utilities,5644.45,16/11/2024,11/10/2024,Monthly internet charges - South Carrieburgh branch
"Santiago, Johnson and Walls",Marketing,8718.53,06/05/2025,24/03/2025,Influencer collaboration fee - product promo
Hart Group,Utilities,7001.44,22/12/2024,30/10/2024,Monthly internet charges - New Earlfort branch
Blanchard-Ramos,Marketing,2194.01,15/06/2025,18/05/2025,Email campaign services - customer outreach
"Torres, Scott and Johnson",Software,575.25,26/11/2024,26/11/2024,Monthly subscription for team access - 160 users
Sullivan-Phillips,Rent,4532.68,29/05/2025,26/04/2025,Commercial space lease fee - West Kristinberg location
"Jackson, Morrow and Lee",Utilities,7955.65,13/02/2025,24/12/2024,Heating and cooling costs - company premises
Washington Inc,Payroll Provider,840.01,02/05/2025,09/03/2025,Payroll charges for hourly workers - West Katelynborough site
Cross-Taylor,Software,4443.98,03/05/2025,20/03/2025,Monthly subscription for team access - 43 users
Russo-Brown,Legal,4731.61,24/04/2025,30/03/2025,Contract negotiation support - vendor deal
Hamilton-Jones,Consulting,5898.19,22/09/2024,22/08/2024,Consulting session - digital transformation
Keller-Morris,Supplies,6920.82,27/12/2024,06/12/2024,Bulk stationery order - office essentials
"Harvey, Abbott and Ward",Supplies,7508.9,04/08/2025,30/06/2025,Breakroom and pantry supplies - monthly refill
"Stanley, Cordova and Adams",Consulting,9666.45,12/08/2025,11/07/2025,Project-based consulting fee - East Robertstad office
"Baker, Cole and Allen",Consulting,4749.63,18/10/2024,25/08/2024,Consulting session - digital transformation
"Perez, Arias and Clark",Consulting,3840.73,17/05/2025,25/04/2025,Project-based consulting fee - New Jamesbury office
Johnston-Walker,Rent,6852.23,12/05/2025,22/04/2025,Rental charge for workspace - downtown East Donaldberg
Jordan-Kennedy,Payroll Provider,7173.39,13/03/2025,24/01/2025,Monthly payroll service fee - 79 employees
"Reed, Curry and Cuevas",Marketing,4537.33,01/02/2025,15/01/2025,SEO and SEM services - lead generation
Hull Inc,Supplies,1140.96,25/02/2025,22/02/2025,Order of printer cartridges - Ruizchester office
"Gilbert, Gonzalez and Fletcher",Payroll Provider,4005.32,03/02/2025,25/12/2024,Monthly payroll service fee - 72 employees
"Miller, Lynch and Nguyen",Marketing,3070.95,27/06/2025,16/06/2025,Ad campaign spend - Instagram ads
Flores-Jackson,Utilities,8580.62,04/01/2025,12/11/2024,Electricity bill for office - Christopherhaven
Yu and Sons,Utilities,8754.42,30/05/2025,20/04/2025,Water and waste utility fee - Rhondaville facility
Reyes-Parrish,Consulting,4453.32,05/06/2025,10/05/2025,Consulting session - digital transformation
Ellis-Scott,Rent,1331.72,27/08/2024,16/08/2024,Quarterly rent - Port Tracyhaven headquarters
Garcia Group,Software,7910.04,04/03/2025,08/02/2025,Annual renewal - enterprise software suite
Fox-Ramirez,Supplies,7441.84,09/12/2024,01/11/2024,Purchase of ergonomic office accessories
Hopkins-Nguyen,Supplies,6397.51,09/02/2025,03/02/2025,Breakroom and pantry supplies - monthly refill
Adams Inc,Utilities,3088.2,11/12/2024,17/11/2024,Water and waste utility fee - Whitefort facility
"Thomas, Pierce and Kelly",Rent,3458.18,10/11/2024,31/10/2024,Quarterly rent - West Jason headquarters
Romero-Myers,Payroll Provider,8705.74,18/12/2024,25/10/2024,Salary payment facilitation - full-time staff
"Bradley, Robinson and Robinson",Utilities,1667.32,11/02/2025,17/12/2024,Monthly internet charges - Nicholasburgh branch
Gonzalez-Smith,Utilities,7171.41,21/10/2024,01/10/2024,Phone and data plan charges - office use
Casey LLC,Consulting,9177.03,07/01/2025,04/01/2025,Monthly retainer for strategic advisory
Vaughan-Sawyer,Marketing,3972.79,02/06/2025,01/06/2025,Email campaign services - customer outreach
Ochoa and Sons,Payroll Provider,2878.17,21/10/2024,24/09/2024,Salary payment facilitation - full-time staff
Harrison Inc,Utilities,3316.15,25/05/2025,22/04/2025,Monthly internet charges - Michaelland branch
Davis-Williams,Supplies,6793.61,20/09/2025,25/07/2025,Bulk stationery order - office essentials
"Coleman, Simmons and Ortega",Consulting,643.76,16/07/2025,02/07/2025,Remote consulting workshop - Q&A session
Miranda-Esparza,Legal,4182.81,26/09/2024,23/08/2024,Document preparation and filing - legal team
Vaughan-Williams,Utilities,6556.46,12/12/2024,29/10/2024,Heating and cooling costs - company premises
"Boone, Bernard and Sawyer",Marketing,7288.26,22/05/2025,30/04/2025,Ad campaign spend - Google ads
"Pham, Sanchez and Carroll",Supplies,1374.41,16/03/2025,05/02/2025,"Monthly supply restocking - pens, paper, toner"
Buchanan Ltd,Rent,3053.96,27/02/2025,04/02/2025,Quarterly rent - North Jennifer headquarters
Vincent-Miller,Legal,6781.71,03/01/2025,28/12/2024,Intellectual property review - annual check
Tran-Nelson,Legal,6247,22/05/2025,14/05/2025,Contract negotiation support - vendor deal
Dean-Evans,Payroll Provider,7242.12,20/02/2025,18/02/2025,Monthly payroll service fee - 46 employees
Williams-Conley,Utilities,7972.32,08/01/2025,03/01/2025,Electricity bill for office - West Tamara
"Castillo, Garcia and Garcia",Utilities,6536.16,04/01/2025,11/12/2024,Phone and data plan charges - office use
Wood Ltd,Rent,4287.49,09/06/2025,13/05/2025,Rental charge for workspace - downtown Thompsonchester
Wallace Inc,Software,3475.63,04/05/2025,07/04/2025,Recurring license fee for SaaS product
Montgomery LLC,Utilities,1921.33,19/10/2024,05/10/2024,Phone and data plan charges - office use
Davis-Hardy,Supplies,2037.72,28/08/2024,15/08/2024,Order of printer cartridges - Port Adrianaburgh office
"Shaw, Green and Clark",Supplies,7116.65,01/07/2025,24/05/2025,Breakroom and pantry supplies - monthly refill
Randolph Ltd,Payroll Provider,4907.42,17/01/2025,11/01/2025,Monthly payroll service fee - 165 employees
White-Stewart,Utilities,440.87,22/01/2025,23/12/2024,Heating and cooling costs - company premises
Rodriguez and Sons,Consulting,7169.89,24/01/2025,30/12/2024,Remote consulting workshop - Q&A session
Young-Pittman,Utilities,164.56,29/08/2024,22/08/2024,Electricity bill for office - West Ericton
Miller Group,Rent,4065.88,08/03/2025,20/02/2025,Building rental for company premises
Michael PLC,Supplies,7442.04,04/01/2025,07/11/2024,Order of printer cartridges - North Monicaborough office
"Taylor, Wilson and Henderson",Consulting,7939.41,28/11/2024,08/10/2024,Remote consulting workshop - Q&A session
"Dickerson, Watson and Baker",Marketing,3331.4,14/06/2025,09/05/2025,SEO and SEM services - lead generation
Garza-Sanchez,Marketing,3314.7,30/03/2025,23/03/2025,SEO and SEM services - lead generation
"King, Fisher and Maynard",Marketing,7161.45,29/10/2024,24/10/2024,Influencer collaboration fee - product promo
Griffin Group,Supplies,5112.91,02/06/2025,18/04/2025,Purchase of ergonomic office accessories
Campbell-Roth,Utilities,2068.94,31/03/2025,08/02/2025,Water and waste utility fee - West Sherryhaven facility
"Escobar, Montoya and Le",Utilities,1639.55,14/08/2025,22/06/2025,Water and waste utility fee - East Amyberg facility
"Brown, Patton and Gallagher",Rent,5641.66,02/02/2025,24/01/2025,Building rental for company premises
Jennings Group,Software,8715.59,20/08/2025,06/08/2025,Pro plan billing for cloud platform - 65 seats
Taylor-Larson,Rent,3218.89,11/06/2025,23/04/2025,Commercial space lease fee - Lake Destiny location
Hunt-Green,Utilities,2975.88,21/02/2025,14/02/2025,Electricity bill for office - Codyville
Sanchez-Hansen,Rent,3713.27,17/06/2025,15/05/2025,Commercial space lease fee - East Stephaniefort location
Anderson-White,Payroll Provider,6676.89,10/12/2024,15/10/2024,Payroll charges for hourly workers - East Stephen site
Nelson PLC,Consulting,5554.51,29/06/2025,28/05/2025,Consulting session - digital transformation
"Waters, Green and Wilson",Supplies,6336.56,04/02/2025,07/01/2025,Bulk stationery order - office essentials
Stanton-Gentry,Consulting,7749.37,25/02/2025,17/01/2025,External expert engagement - operational efficiency
Yu Group,Marketing,3693.69,08/01/2025,09/11/2024,Email campaign services - customer outreach
"Wright, Navarro and Hill",Rent,2418.62,10/09/2024,21/08/2024,Commercial space lease fee - Joannaport location
"Riley, Williams and Stevens",Marketing,2202.53,12/06/2025,27/05/2025,Influencer collaboration fee - product promo
"Pruitt, Love and Miller",Utilities,1150.58,27/11/2024,11/11/2024,Heating and cooling costs - company premises
Martin-Doyle,Utilities,1976.17,04/08/2025,07/07/2025,Monthly internet charges - Sandershaven branch
"Steele, Green and Mclaughlin",Utilities,5277.43,10/05/2025,26/03/2025,Phone and data plan charges - office use
Ross-Jones,Utilities,1208.45,04/12/2024,23/11/2024,Electricity bill for office - West Brianaberg
"Byrd, Gray and Peterson",Consulting,3290.6,01/05/2025,28/03/2025,Remote consulting workshop - Q&A session
Woods-Jones,Rent,1725.93,12/05/2025,08/04/2025,Monthly office rent payment - North Davidtown branch
Davis Inc,Software,9514.09,31/07/2025,23/06/2025,Billing for API usage - developer plan
"Schwartz, Gutierrez and Jones",Consulting,9794.24,10/12/2024,08/12/2024,Monthly retainer for strategic advisory
Lopez-Ramirez,Rent,142.57,24/03/2025,03/03/2025,Quarterly rent - North Sarahfort headquarters
Fuller-Swanson,Marketing,8149.14,15/09/2025,19/07/2025,Influencer collaboration fee - product promo
"Calderon, Hall and Jenkins",Payroll Provider,5342.86,07/01/2025,23/12/2024,Payroll charges for hourly workers - Aprilland site
Berry Inc,Marketing,7452.12,24/09/2024,09/09/2024,Email campaign services - customer outreach
Wade-Gutierrez,Consulting,9389.63,16/03/2025,24/02/2025,Consulting session - digital transformation
Boyd Ltd,Rent,9512.4,25/02/2025,12/02/2025,Building rental for company premises
Hudson Inc,Rent,1307.3,04/08/2025,04/08/2025,Rental charge for workspace - downtown West Maryberg
"King, Love and Chavez",Legal,9282.19,23/03/2025,16/03/2025,Retainer for corporate legal services
Pennington-Brown,Rent,4419.38,16/06/2025,21/05/2025,Commercial space lease fee - Port Zachary location
Smith PLC,Consulting,6268.34,08/10/2024,04/10/2024,Monthly retainer for strategic advisory
"Williams, Alexander and Ford",Marketing,1096.25,07/03/2025,16/02/2025,SEO and SEM services - lead generation
"Copeland, Boyd and Romero",Supplies,3662.46,18/11/2024,27/09/2024,"Monthly supply restocking - pens, paper, toner"
Williams Ltd,Consulting,3816.78,28/12/2024,09/11/2024,External expert engagement - operational efficiency
"Johnson, Costa and Martin",Marketing,5053.94,07/06/2025,12/04/2025,Influencer collaboration fee - product promo
Wilson Ltd,Rent,6539.87,12/01/2025,15/11/2024,Building rental for company premises
Smith PLC,Rent,3383.78,21/03/2025,14/03/2025,Building rental for company premises
"Parker, Hodges and Lewis",Payroll Provider,9072.1,06/08/2025,13/06/2025,Payroll charges for hourly workers - New Christine site
Perez and Sons,Consulting,9269.28,27/12/2024,09/11/2024,Project-based consulting fee - East Alejandro office
Bates-Rivera,Legal,4156.59,11/12/2024,29/11/2024,Intellectual property review - annual check
"Oliver, Mendoza and Hull",Consulting,6666.16,06/06/2025,03/06/2025,Monthly retainer for strategic advisory
"Atkinson, Chan and Brown",Consulting,3634.14,06/06/2025,19/05/2025,Consulting session - digital transformation
Clark PLC,Marketing,1720.18,14/09/2024,11/08/2024,Email campaign services - customer outreach
Ray-Pena,Marketing,6853.67,21/01/2025,26/11/2024,Influencer collaboration fee - product promo
Jones-Bryant,Software,1760.91,03/04/2025,25/03/2025,Monthly subscription for team access - 94 users
Haley PLC,Marketing,2108.72,08/06/2025,08/06/2025,Content marketing retainer - monthly service
Kelley-Cooper,Consulting,6252.07,04/09/2025,06/07/2025,External expert engagement - operational efficiency
"Hoover, Dennis and Carroll",Supplies,1647.11,13/07/2025,09/06/2025,Breakroom and pantry supplies - monthly refill
"Williams, Price and Garcia",Payroll Provider,9742.33,21/02/2025,28/12/2024,Monthly payroll service fee - 198 employees
Jenkins-Little,Consulting,4912.63,08/08/2025,01/08/2025,Project-based consulting fee - Romanshire office
Stewart-Preston,Software,6635.31,22/06/2025,14/06/2025,Pro plan billing for cloud platform - 69 seats
"Underwood, Cobb and Caldwell",Legal,5555.87,06/12/2024,19/11/2024,Retainer for corporate legal services
Gordon Ltd,Utilities,4413.52,13/10/2024,22/09/2024,Phone and data plan charges - office use
"Robbins, Roy and Smith",Rent,3050.78,26/12/2024,23/12/2024,Building rental for company premises
Golden Ltd,Supplies,1202.5,17/10/2024,03/09/2024,Order of printer cartridges - Lake Virginiaton office
Hamilton-Gates,Marketing,4186.48,09/01/2025,05/01/2025,Email campaign services - customer outreach
Daniel Group,Rent,6700.27,10/05/2025,14/04/2025,Monthly office rent payment - Conniestad branch
Jackson PLC,Marketing,1897.44,18/12/2024,17/12/2024,Content marketing retainer - monthly service
"Nguyen, Heath and Stuart",Utilities,2515.13,06/04/2025,12/02/2025,Monthly internet charges - Lake Ericmouth branch
"West, Hunter and Cook",Legal,4495.85,18/05/2025,05/05/2025,Contract negotiation support - vendor deal
"Villanueva, Giles and Hines",Consulting,4002.05,22/02/2025,21/01/2025,Remote consulting workshop - Q&A session
"Lewis, Jenkins and Robertson",Marketing,5400.53,01/07/2025,27/05/2025,Content marketing retainer - monthly service
Sherman-Hansen,Marketing,2804.71,24/01/2025,08/12/2024,Email campaign services - customer outreach
Smith and Sons,Payroll Provider,9283.78,17/12/2024,06/11/2024,Wages disbursed via payroll platform
Kelly-Lawson,Rent,9656.35,20/12/2024,29/11/2024,Rental charge for workspace - downtown Bartonshire
Fitzgerald Ltd,Utilities,6585.33,17/05/2025,01/04/2025,Heating and cooling costs - company premises
Stephens PLC,Marketing,3213.86,23/05/2025,22/05/2025,Content marketing retainer - monthly service
"Gallagher, Walls and Haynes",Supplies,9213.65,20/06/2025,16/05/2025,Breakroom and pantry supplies - monthly refill
Miller-Moore,Rent,777.74,24/12/2024,01/12/2024,Rental charge for workspace - downtown East Kathleen
Brady-Sweeney,Payroll Provider,5520.04,10/01/2025,14/11/2024,Monthly payroll service fee - 58 employees
Oconnell Group,Supplies,275.08,08/07/2025,29/06/2025,Breakroom and pantry supplies - monthly refill
Garcia-Alvarez,Marketing,1320.44,20/03/2025,28/02/2025,SEO and SEM services - lead generation
Klein and Sons,Legal,7865.96,22/12/2024,06/12/2024,Legal advisory services - compliance audit
Holloway-Smith,Software,8279.53,08/03/2025,07/01/2025,Pro plan billing for cloud platform - 87 seats
